ID,Year,CC,Mileage,Price
335,2013,1995,30500,12780
336,2003,1598,90500,2995
337,2005,1598,110500,2850
338,2003,1598,110500,2600
339,2009,0,100500,5750
340,2008,1560,90500,5250
341,2006,1598,100500,3985
342,2002,1598,110500,2995
343,2002,1600,100500,2495
344,2012,1598,30500,10995
345,2012,1995,70500,15250
346,2002,1598,50500,3295
347,2006,1598,90500,4695
348,2003,1598,90500,3695
349,2007,1397,30500,6750
350,2003,1598,90500,3695
351,2007,1598,80500,6995
352,2013,1598,10500,9995
353,2006,1598,70500,4100
354,2004,1598,100500,2900
355,2007,1598,90500,3195
356,2013,1598,20500,10450
357,2003,1598,100500,2795
358,2006,1598,100500,3995
359,2007,1400,90500,4950
360,2007,1598,70500,6989
361,2011,1600,80500,9750
362,2004,0,90500,2400
363,2008,1598,80500,4999
364,2003,1598,110500,2995
365,2004,1598,60500,3795
366,2005,1598,80500,3195
367,2009,1397,40500,5500
368,2011,1598,50500,7750
369,2004,1595,500,2995
370,2010,1598,10500,7750
371,2013,1598,70500,7495
372,2003,1598,60500,3800
373,2006,1598,50500,5995
374,2008,1598,50500,6995
375,2001,1598,130500,2050
376,2001,1598,100500,2349
377,2008,1598,80500,5450
378,2007,1596,70500,5550
379,2006,1596,80500,4850
380,2009,1560,50500,6995
381,2003,1598,90500,2595
382,2003,1598,60500,3995
383,2007,1397,80500,4295
384,2009,1397,70500,4795
385,2005,1598,90500,3900
386,2004,1598,90500,3950
387,2007,1598,70500,4695
388,2004,1598,80500,2895
389,2010,1598,80500,5200
390,2004,1598,130500,2150
391,2010,1598,60500,6495
392,2002,1598,110500,2500
393,2005,1598,60500,4300
394,2015,1,10500,15790
395,2005,1600,60500,3999
396,2004,1598,60500,3000
397,2012,1598,30500,10960
398,2003,1600,80500,2999
399,2002,1598,140500,3695
400,2007,1397,90500,3900
401,2005,1598,100500,3295
402,2007,1598,60500,6450
403,2003,1598,100500,2395
404,2006,1598,60500,4995
405,2008,1560,80500,4195
406,2010,1598,70500,4395
407,2009,1598,50500,6499
408,2004,1598,100500,2795
409,2013,1598,50500,16470
410,2004,1598,100500,3295
411,2007,1598,60500,6750
412,2013,1598,20500,9990
